style;name;color;season;image_url;division;gender;age;category;parent_type;subtype;activity_use;sustainability;;description
24a523501;coiled premium ww ss;dbr;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee^Wave wash for a vintage look and feel^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a523502;sunrise premium ww ss;dro;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee^Wave wash for a vintage look and feel^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a523503;single fin premium ww ss;mdb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee. Wave Washed for a lived-in look and a buttery soft hand feel. Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label.
24a523503;single fin premium ww ss;ofw;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee. Wave Washed for a lived-in look and a buttery soft hand feel. Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label.
24a551501;lounge trucker;brn;253;;billabong;men;adult;accessories;cap;trucker;active;;;Product Type : Medium profile unstructured 5 panel trucker with demi curved brim.^Additional Features :Front seasonal embroidery and patch, back woven label^Fabric: 71% Polyester / 29% Cotton
24a551506;walled trucker;mdb;253;;billabong;men;adult;accessories;cap;trucker;active;;;Product Type : Medium profile unstructured 5 panel trucker with demi curved brim.^Additional Features :Front seasonal embroidery and patch, back woven label^Fabric: 71% Polyester / 29% Cotton
24a551511;breakdown snapback;tob;253;;billabong;men;adult;accessories;cap;snapback;active;;;Product Type: Medium profile unstructured 5 panel snapback with demi curve brim and adjustable plastic snap closure^Additional Features: Front seasonal artwork and back woven flag label. Moisture wicking sweatband.^Fabric:100% cotton.
24a551512;heritage strapback;blk;253;;billabong;men;adult;accessories;cap;strapback;active;;;Product Type: 6-panel snapback hat with logo embroidery on center front crown. ^Additional Features: Woven flag label on back and brim is demi curve^Fabric: Cotton Corduroy
24a551512;heritage strapback;ssb;253;;billabong;men;adult;accessories;cap;strapback;active;;;Product Type: 6-panel snapback hat with logo embroidery on center front crown. ^Additional Features: Woven flag label on back and brim is demi curve^Fabric: Cotton Corduroy
24a553503;bad dog strapback;mdb;253;;billabong;men;adult;accessories;cap;strapback;active;;;Medium profile 6 panel unstructured strapback.^Flat brim.^Self fabric strap with slim metal tri-glide buckle.^Arch flag label.^Embroidered artwork.^Brushed cotton canvas with wash for vintage look and feel.^Contrasted stitching.
24a553504;ty williams trucker;ssb;253;;billabong;men;adult;accessories;cap;trucker;active;;;Part of Ty William Billabong gallery collection.^Medium profile 5 panel unstructured trucker.^Demi curve bill.^plastic strap closure.^Corduroy fabric on crown and visor.^woven patch feature Ty William art.
24a583504;adiv reissue beanie;sil;253;;billabong;men;adult;accessories;beanie;cuff;snow;;;Product Type:Standard fit beanie with fully fashioned cuff^Additional Features: Woven patch branding on cuff.^Fabric: 60% Recyled Polyester 40% Acyrlic
24aw191501;403 revolution pro cz full;blk;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;;Product type:Revolution Pro^^Exterior Fabric Type:Upcycler Airlite 4D & Upcycler Pro stretch combined^^Neoprene Foam Type:LEVITATION LIGHT RUBBER^^Interior Fabric Type:Graphene Comp - Graphene infuzed recycled fibers knitted to stretch^^Body type: Long Sleeve Fullsuit^^Thickness: 403mm^^ Entry System: Chest Zip^^Exterior Seam Detail:Stitchless Seams
