style;division;gender;age;category;parent_type;subtype;activity_use;sustainability
ebbzt00181;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00182;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00183;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00184;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00185;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00186;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00187;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00189;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00190;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00191;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00192;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00193;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00194;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00195;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebjdp03001;billabong;women;adult;clothing;jeans;straight;casual;
ebjdp03002;billabong;women;adult;clothing;jeans;wide_legged;casual;
ebjjk00160;billabong;women;adult;clothing;jackets;quilted;casual;
ebjjk00161;billabong;women;adult;clothing;jackets;rain;casual;
ebjjk00162;billabong;women;adult;clothing;jackets;bomber;casual;
ebjjk00163;billabong;women;adult;clothing;jackets;sherpa;casual;
ebjjk00165;billabong;women;adult;clothing;jackets;puffer;casual;
ebjjk00166;billabong;women;adult;clothing;jackets;puffer;casual;
ebjjk00169;billabong;women;adult;clothing;jackets;sherpa;casual;
ebjjk00171;billabong;women;adult;clothing;jackets;shacket;casual;
ebjjk00172;billabong;women;adult;clothing;jackets;puffer;casual;
ebjjk00173;billabong;women;adult;clothing;jackets;sherpa;casual;
ebjjk00174;billabong;women;adult;clothing;jackets;corduroy;casual;
ebjjk00177;billabong;women;adult;clothing;jackets;sherpa;casual;
ebjjk00179;billabong;women;adult;clothing;jackets;corduroy;casual;
ebjnp00136;billabong;women;adult;clothing;pants;wide_legged;casual;
ebjnp00138;billabong;women;adult;clothing;pants;beach_coverup;beach;
ebjsf00183;billabong;women;adult;clothing;fleece_polar;hoodie;casual;
ebjsf00184;billabong;women;adult;clothing;fleece_polar;hoodie;casual;
ebjsf00186;billabong;women;adult;clothing;fleece_polar;hoodie;casual;
ebjsf00187;billabong;women;adult;clothing;fleece_polar;hoodie;casual;
ebjsf00189;billabong;women;adult;clothing;fleece_polar;fleece;casual;
ebjsf00190;billabong;women;adult;clothing;fleece_polar;fleece;casual;
ebjsf00191;billabong;women;adult;clothing;pullover;fleece;casual;
ebjwd00149;billabong;women;adult;clothing;dress;one_piece;casual;
ebjwd00158;billabong;women;adult;clothing;dress;one_piece;casual;
ebjwd00160;billabong;women;adult;clothing;dress;one_piece;casual;
ebjwd00163;billabong;women;adult;clothing;dress;one_piece;casual;
ebjwd00164;billabong;women;adult;clothing;dress;one_piece;casual;
ebjwo03004;billabong;women;adult;clothing;long_leg_onesie;one_piece;casual;
ebjwt00118;billabong;women;adult;clothing;shirt;button_up;casual;
ebjwt00119;billabong;women;adult;clothing;shirt;button_up;casual;
ebjwt00120;billabong;women;adult;clothing;shirt;button_up;casual;
ebjx400151;billabong;women;adult;swim;bikini_bottom;;beach;
ebjzt00466;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00468;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00469;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00471;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00473;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00474;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00475;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00476;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00477;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00478;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00479;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00480;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00481;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00482;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00483;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00495;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00497;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00499;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00502;billabong;women;adult;clothing;tank;crew;casual;
ebjzt00503;billabong;women;adult;clothing;tank;crew;casual;
ebjzt00504;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00505;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00554;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00556;billabong;women;adult;clothing;t-shirt;crew;casual;
ebjzt00558;billabong;women;adult;clothing;t-shirt;crew;casual;
ebyaa00126;billabong;men;adult;accessories;wallet;tri_fold;casual;recycled
ebyaa00127;billabong;men;adult;accessories;wallet;tri_fold;casual;
ebyaa00128;billabong;men;adult;accessories;belt;buckle;casual;
ebyaa00129;billabong;men;adult;accessories;belt;web;casual;
ebyaa00133;billabong;men;adult;accessories;school_supplies;pencil_case;school;
ebyba00106;billabong;men;adult;accessories;bag;waist_pack;casual;recycled
ebyba00107;billabong;men;adult;accessories;bag;waist_pack;casual;
ebyba00108;billabong;men;adult;accessories;bag;waist_pack;casual;
ebyba00109;billabong;men;adult;accessories;bag;waist_pack;casual;recycled
ebybp03003;billabong;men;adult;accessories;backpack;classic;casual;recycled
ebydp03002;billabong;men;adult;clothing;jeans;workwear;casual;
ebydp03003;billabong;men;adult;clothing;jeans;stretch;casual;
ebydp03004;billabong;men;adult;clothing;jeans;relaxed;casual;
ebydp03005;billabong;men;adult;clothing;jeans;workwear;casual;
ebyft00143;billabong;men;adult;clothing;pullover;fleece;casual;
ebyft00144;billabong;men;adult;clothing;pullover;full_zip;casual;recycled
ebyft00145;billabong;men;adult;clothing;shirt;shacket;casual;recycled
ebyft00146;billabong;men;adult;clothing;pullover;crew;casual;recycled
ebyft00147;billabong;men;adult;clothing;pullover;hoodie;casual;recycled
ebyft00148;billabong;men;adult;clothing;pullover;full_zip;casual;recycled
ebyft00149;billabong;men;adult;clothing;pullover;full_zip;casual;recycled
ebyft00150;billabong;men;adult;clothing;pullover;fleece;casual;
