style;color;name;image_url;description;season
UVYHA00304;WDR0;LEAGUE VA PINCHED SNAPBACK;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyha00304_wdr0.png;Product Type: Cap^Fabric: 98% Cotton, 2% Elastane^Construction: 5 panel snapback^Visor/Brim: Curved Brim^CF embroidery;251
UVYHA00307;BLK;BENJ SNAPBACK;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyha00307_blk.png;Product Type: Cap^Fabric: 100% Cotton twill^Construction: 5 panel snapback^Visor/Brim: Flat brim^CF Print;251
UVYHA00308;KTA0;JUPITER CAP;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyha00308_kta0.png;Product Type: Cap^Fabric: 100% Cotton Twill^Construction: 5 panel clipback^Visor/Brim: Curved Brim^CF embroidery;251
UVYJK00135;BSL0;VARSITY TWILL VEST;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyjk00135_bsl0.png;Product Type: Vest^Fabric: 100% Cotton Sateen Twill, 330g^Lining: Fully lined^Wash: Solid dye, garment softener wash^Ribbed bomber collar.^Square hem^RVCA trims.;251
UVYSW00119;TZK0;QTR ZIP KNIT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvysw00119_tzk0.png;Product type: Knit Top^Fabric: 50% Cotton, 33% Viscose, 17% Nylon^Fit: Regular fit.^Rib collar and hem. 1/4 Zip front placket.^Solo label at hem;251
UVYWT00204;BRG0;RVCA CLASSIC DENIM LS SHIRT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvywt00204_brg0.png;Product Type: Woven Top^Fabric: 100% cotton Denim^Weight:15.2oz^Wash: Garment wash^Fit: Long Sleeve^Closure/Neck: Button up collar^Button up sleeve cuffs^Branded label in sideseam hem edge;251
UVYWT00207;CMM;ROVER SS SHIRT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvywt00207_cmm.png;Product Type: Woven Top^Fabric: 100% Cotton Twill, 240g^Wash: Heavy enzyme wash^Fit: Boxy Fit^Closure/Neck: Collar with CF button closure^Bottom hem solo label;251
UVYWT00208;BLK;BASE LINEN LS SHIRT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvywt00208_blk.png;Product Type: Woven Top^Fabric: 92% Cotton 8% Linen, 155g^Wash: Heavy garment wash^Fit: Long Sleeve^Closure/Neck: Button up collar^Button up sleeve cuffs^Branded label in side seam hem edge;251
UVYZT00893;GNB0;JUPITER SS TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyzt00893_gnb0.png;Product Type: Tee^Fabric: 100% Cotton^Weight:180gsm^Wash: Garmet dye, mineral wash^Fit: Relaxed^Neck: Round neck^Branded label inserted into the side seam at hem edge;251
UVYZT00895;WDR0;GLOBAL RVCA SS TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyzt00895_wdr0.png;Product Type: Tee^Fabric: 100% Organic Cotton^Weight:250gsm^Wash: Solid dye, No wash^Fit: Oversized Fit^Neck: Round neck^Branded label inserted into the side seam at hem edge^Large chest print;251
UVYZT00904;WHT;WELCOME SS TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyzt00904_wht.png;Product Type: Tee^Fabric: 100% Organic Cotton^Weight:250gsm^Wash: Solid dye, No wash^Fit: Box Fit^Neck: Round neck^Chest with Back Digital Print^Branded label inserted into the side seam at hem edge;251
UVYZT00905;WZA0;RACE DAY SS TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyzt00905_wza0.png;Product Type: Tee^Fabric: 100% Cotton^Weight:200gsm^Fit: Relaxed^Neck: Round neck^Chest and Back Print^Branded label inserted into the side seam at hem edge^Wash: Pigment dye w/ heavy stone wash;251
UVYZT00911;BND0;CHARMER SS TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyzt00911_bnd0.png;Product Type: Tee^Fabric: 100% Organic Cotton^Weight:200gsm^Wash: Solid dye, No wash^Fit: Relaxed^Neck: Round neck^Chest and Back Print^Branded label inserted into the side seam at hem edge;251
UVYZT00913;SLE0;SPUN OUT SS TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyzt00913_sle0.png;Product Type: Tee^Fabric: 100% Cotton^Weight:200gsm^Wash: Enzyme stone wash^Fit: Oversized Fit^Neck: Round neck^Chest Print^Branded label inserted into the side seam at hem edge^Heavy Wash;251
UVYZT00920;WZA0;BENJ LS TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyzt00920_wza0.png;Product Type: LS Tee^Fabric: 100% Organic Cotton^Weight:250gsm^Wash: Solid dye, No wash^Fit: Relaxed^Neck: Round neck^Graphic:Front and back print^ANP label at hem;251
UVYZT00921;GZE0;COLLEGIATE POLO LS TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyzt00921_gze0.png;Product Type: Long Sleeve Jersey^Fabric: 100% Organic Cotton^Weight:250g^Wash: Solid dye, No wash^Fit: Relaxed fit^Neck: Polo neck with button up placket^Graphic:Chest PRINT;251
